init,iter,overflow_units,max_overflow,opt_s
warm,5,98443.9,79.04,35.09
warm,15,98349.6,79.04,0.12
warm,30,98495.4,79.04,1.63
warm,60,98530.0,79.04,1.91
warm,120,98484.6,79.04,2.53
warm,250,98484.6,79.04,3.06
cold,5,103128.9,76.04,1.05
cold,15,102873.3,76.04,1.26
cold,30,102890.2,76.04,1.42
cold,60,102861.7,77.04,1.84
cold,120,102599.2,77.04,2.5
cold,250,102599.2,77.04,2.97

