chip,method,knob,wirelength,via_count,overflow,pareto
ispd18_test10_metal5,synth,vm1,70433811,2220959,1,79317647
ispd18_test10_metal5,synth,cls4vm1,70474014,2050755,8,78677034
ispd18_test10_metal5,synth,cls2vm1_wsa1k,72478678,2112911,1,80930322
ispd18_test10_metal5,synth,ofmode_vm1,70276704,2220297,5,79157892
ispd18_test10_metal5,synth,cls2vm2_wsa1k,74554448,2162746,6,83205432
ispd18_test10_metal5,synth_orig,default,72383291,2256941,1,81411055
ispd18_test10_metal5,synth_orig,cls2vm1,69955954,2083144,0,78288530
ispd18_test10_metal5,synth_orig,vm1,70319675,2215588,1,79182027
ispd18_test10_metal5,synth_orig,cls4vm1,70259123,2048801,3,78454327
ispd18_test10_metal5,synth_orig,cls2vm1_wsa1k,72309226,2106671,0,80735910
ispd18_test10_metal5,synth_orig,cls2vm2_wsa1k,74405844,2157513,0,83035896
ispd18_test10_metal5,synth_orig,ofmode_vm1,70111516,2214755,1,78970536
ispd18_test10_metal5,cross,cls2vm1,70121901,2086656,1,78468525
ispd18_test10_metal5,cross,default,72478107,2260149,4,81518703
ispd18_test10_metal5,cross,vm1,70383209,2219526,1,79261313
ispd18_test10_metal5,cross,cls4vm1,70370663,2050572,6,78572951
ispd18_test10_metal5,cross,cls2vm1_wsa1k,72490112,2111032,1,80934240
ispd18_test10_metal5,cross,cls2vm2_wsa1k,74502685,2160651,4,83145289
ispd18_test10_metal5,cross,ofmode_vm1,70143376,2218661,2,79018020
ispd19_test7_metal5,native,default,104651440,3813121,0,119903924
ispd19_test7_metal5,native,vm1,104127160,3766170,0,119191840
ispd19_test7_metal5,native,cls2vm1_wsa1k,104364160,3720931,0,119247884
ispd19_test7_metal5,native,cls2vm1,103995025,3713432,0,118848753
ispd19_test7_metal5,native,cls4vm1,104037115,3697975,0,118829015
ispd19_test7_metal5,native,ofmode_vm1,104341345,3766399,0,119406941
ispd19_test7_metal5,native,cls2vm2_wsa1k,105071440,3753239,0,120084396
ispd19_test7_metal5,dgr,default,104553115,3826077,0,119857423
ispd19_test7_metal5,dgr,cls2vm1,103933990,3718230,0,118806910
ispd19_test7_metal5,dgr,vm1,104036425,3777003,0,119144437
ispd19_test7_metal5,dgr,cls4vm1,103965865,3700035,2,118766005
ispd19_test7_metal5,dgr,cls2vm1_wsa1k,104332195,3727571,0,119242479
ispd19_test7_metal5,dgr,cls2vm2_wsa1k,104983345,3763888,0,120038897
ispd19_test7_metal5,dgr,ofmode_vm1,104206360,3776971,0,119314244
ispd19_test7_metal5,synth,default,104597560,3827965,1,119909420
ispd19_test7_metal5,synth,cls2vm1,103957525,3719835,0,118836865
ispd19_test7_metal5,synth,vm1,104043220,3779359,0,119160656
ispd19_test7_metal5,synth,cls2vm1_wsa1k,104315065,3729111,0,119231509
ispd19_test7_metal5,synth,ofmode_vm1,104187760,3778630,0,119302280
ispd19_test7_metal5,synth,cls4vm1,103982785,3701150,0,118787385
ispd19_test7_metal5,synth,cls2vm2_wsa1k,105027325,3765661,0,120089969
ispd19_test7_metal5,synth_orig,default,104564935,3826247,0,119869923
ispd19_test7_metal5,synth_orig,cls2vm1,103949845,3718514,0,118823901
ispd19_test7_metal5,synth_orig,vm1,104009680,3776761,0,119116724
ispd19_test7_metal5,synth_orig,cls2vm1_wsa1k,104289745,3727502,0,119199753
ispd19_test7_metal5,synth_orig,cls4vm1,103992985,3700098,1,118793377
ispd19_test7_metal5,synth_orig,ofmode_vm1,104203270,3777182,0,119311998
ispd19_test7_metal5,synth_orig,cls2vm2_wsa1k,104982040,3763363,0,120035492
ispd19_test7_metal5,cross,vm1,104033560,3778340,0,119146920
ispd19_test7_metal5,cross,default,104549830,3827183,1,119858562
ispd19_test7_metal5,cross,cls2vm1,103931335,3719067,1,118807603
ispd19_test7_metal5,cross,cls4vm1,103994290,3700846,0,118797674
ispd19_test7_metal5,cross,cls2vm1_wsa1k,104267335,3727907,0,119178963
ispd19_test7_metal5,cross,cls2vm2_wsa1k,104993290,3764985,0,120053230
ispd19_test7_metal5,cross,ofmode_vm1,104223310,3778236,0,119336254
ispd19_test8_metal5,native,default,176905274,6124546,18,201403458
ispd19_test8_metal5,native,vm1,176008574,6008892,14,200044142
ispd19_test8_metal5,native,cls2vm1_wsa1k,177315144,5826012,0,200619192
ispd19_test8_metal5,native,cls4vm1,175952279,5723726,7,198847183
ispd19_test8_metal5,native,cls2vm2_wsa1k,178625559,5921106,2,202309983
ispd19_test8_metal5,native,ofmode_vm1,176469839,6010056,15,200510063
ispd19_test8_metal5,dgr,default,176404419,6154072,19,201020707
ispd19_test8_metal5,dgr,ofmode_vm1,175833384,6031281,30,199958508
ispd19_test8_metal5,synth,ofmode_vm1,175890184,6039904,15,200049800
ispd19_test8_metal5,cross,default,176364029,6158987,16,200999977
ispd19_test8_metal5,cross,vm1,175656609,6036260,4,199801649
ispd19_test8_metal5,cross,cls2vm1_wsa1k,176928714,5825731,1,200231638
ispd19_test8_metal5,cross,cls4vm1,175672744,5717771,19,198543828
ispd19_test8_metal5,cross,cls2vm2_wsa1k,178052764,5926192,1,201757532
ispd19_test8_metal5,cross,ofmode_vm1,175884364,6036904,2,200031980
ispd19_test9_metal5,cross,cls2vm2_wsa1k,262133153,9857102,34,301561561
ispd19_test9_metal5,cross,cls2vm1_wsa1k,261343358,9675863,28,300046810
ispd19_test9_metal5,cross,ofmode_vm1,261481580,10034755,36,301620600
ispd19_test8_metal5,native,cls2vm1,175643079,5797679,16,198833795
ispd19_test8_metal5,dgr,vm1,175690039,6030877,1,199813547
ispd19_test8_metal5,dgr,cls2vm1,175413419,5790926,10,198577123
ispd19_test8_metal5,dgr,cls2vm1_wsa1k,176933094,5820426,1,200214798
ispd19_test8_metal5,dgr,cls2vm2_wsa1k,177902934,5920535,0,201585074
ispd19_test8_metal5,dgr,cls4vm1,175535719,5714955,19,198395539
ispd19_test8_metal5,synth,cls2vm1,175424014,5799340,10,198621374
ispd19_test8_metal5,synth,default,176345524,6162549,11,200995720
ispd19_test8_metal5,synth,vm1,175531384,6039135,8,199687924
ispd19_test8_metal5,synth,cls2vm1_wsa1k,176879989,5828732,1,200194917
ispd19_test8_metal5,synth,cls2vm2_wsa1k,177986214,5928905,2,201701834
ispd19_test8_metal5,synth,cls4vm1,175674399,5721286,38,198559543
ispd19_test8_metal5,synth_orig,default,176128464,6148957,13,200724292
ispd19_test8_metal5,synth_orig,cls2vm1,175496989,5791549,4,198663185
ispd19_test8_metal5,synth_orig,vm1,175548894,6026536,22,199655038
ispd19_test8_metal5,synth_orig,cls2vm1_wsa1k,176844129,5821234,0,200129065
ispd19_test8_metal5,synth_orig,cls2vm2_wsa1k,177795789,5921157,13,201480417
ispd19_test8_metal5,synth_orig,cls4vm1,175744554,5714540,28,198602714
ispd19_test8_metal5,synth_orig,ofmode_vm1,175789394,6026820,26,199896674
ispd19_test8_metal5,cross,cls2vm1,175430419,5796611,14,198616863
ispd19_test9_metal5,native,default,262160756,10187117,30,302909224
ispd19_test9_metal5,native,cls2vm1,261024347,9625965,29,299528207
ispd19_test9_metal5,native,vm1,261420836,9980246,29,301341820
ispd19_test9_metal5,native,cls4vm1,261360143,9497224,58,299349039
ispd19_test9_metal5,native,cls2vm1_wsa1k,261494348,9672003,36,300182360
ispd19_test9_metal5,native,cls2vm2_wsa1k,262384106,9845973,45,301767998
ispd19_test9_metal5,native,ofmode_vm1,261813083,9980801,29,301736287
ispd19_test9_metal5,dgr,default,261647831,10243129,37,302620347
ispd19_test9_metal5,dgr,cls2vm1,260861876,9616041,28,299326040
ispd19_test9_metal5,dgr,vm1,261056033,10021759,31,301143069
ispd19_test9_metal5,dgr,cls2vm1_wsa1k,261341813,9663829,28,299997129
ispd19_test9_metal5,dgr,cls4vm1,261246161,9479171,68,299162845
ispd19_test9_metal5,dgr,cls2vm2_wsa1k,262088711,9847755,33,301479731
ispd19_test9_metal5,dgr,ofmode_vm1,261364676,10022204,28,301453492
ispd19_test9_metal5,synth,default,261763571,10253146,32,302776155
ispd19_test9_metal5,synth,cls2vm1,260867273,9627385,39,299376813
ispd19_test9_metal5,synth,vm1,261145046,10034404,28,301282662
ispd19_test9_metal5,synth,cls4vm1,261177869,9488123,72,299130361
ispd19_test9_metal5,synth,cls2vm1_wsa1k,261353864,9676035,32,300058004
ispd19_test9_metal5,synth,cls2vm2_wsa1k,262108043,9857195,31,301536823
ispd19_test9_metal5,synth,ofmode_vm1,261524444,10034674,28,301663140
ispd19_test9_metal5,synth_orig,default,261654356,10233782,28,302589484
ispd19_test9_metal5,synth_orig,cls2vm1,260833511,9615797,36,299296699
ispd19_test9_metal5,synth_orig,vm1,261030113,10014914,28,301089769
ispd19_test9_metal5,synth_orig,cls4vm1,261154031,9480153,57,299074643
ispd19_test9_metal5,synth_orig,cls2vm1_wsa1k,261342833,9663950,38,299998633
ispd19_test9_metal5,synth_orig,cls2vm2_wsa1k,262099988,9848310,30,301493228
ispd19_test9_metal5,synth_orig,ofmode_vm1,261342464,10015399,29,301404060
ispd19_test9_metal5,cross,default,261686315,10253402,34,302699923
ispd19_test9_metal5,cross,cls2vm1,260809466,9627132,36,299317994
ispd19_test9_metal5,cross,vm1,261109073,10034234,32,301246009
ispd19_test9_metal5,cross,cls4vm1,261254915,9487445,54,299204695
